File       | Score      | Diff         | N  | M  | C
------------------------------------------------------------
0000.txt   | 60         | 0            | 8  | 30 | 3
0001.txt   | 172        | -14          | 9  | 38 | 7
0002.txt   | 775        | -256         | 14 | 127 | 6
0003.txt   | 485        | -127         | 13 | 114 | 3
0004.txt   | 559        | -25          | 13 | 91 | 6
0005.txt   | 312        | -98          | 13 | 84 | 4
0006.txt   | 99         | -8           | 8  | 32 | 5
0007.txt   | 277        | -21          | 9  | 54 | 6
0008.txt   | 105        | +13          | 9  | 36 | 3
0009.txt   | 146        | +21          | 8  | 43 | 3
0010.txt   | 123        | +8           | 8  | 36 | 4
0011.txt   | 298        | -153         | 14 | 81 | 4
0012.txt   | 110        | -4           | 10 | 37 | 3
0013.txt   | 336        | +33          | 13 | 59 | 5
0014.txt   | 638        | +108         | 11 | 89 | 6
0015.txt   | 1309       | -339         | 15 | 147 | 7
0016.txt   | 237        | -9           | 10 | 52 | 5
0017.txt   | 319        | +64          | 10 | 72 | 4
0018.txt   | 220        | +26          | 8  | 42 | 6
0019.txt   | 111387     | +109878      | 16 | 188 | 5
0020.txt   | 80         | +3           | 8  | 25 | 6
0021.txt   | 108        | 0            | 10 | 33 | 4
0022.txt   | 368        | -8           | 12 | 95 | 3
0023.txt   | 87         | 0            | 9  | 26 | 5
0024.txt   | 84         | -7           | 10 | 28 | 4
0025.txt   | 121        | -32          | 8  | 47 | 3
0026.txt   | 85         | 0            | 8  | 19 | 7
0027.txt   | 741        | -90          | 13 | 101 | 6
0028.txt   | 614        | +71          | 14 | 86 | 5
0029.txt   | 531        | -11          | 13 | 104 | 5
0030.txt   | 298        | +8           | 15 | 64 | 5
0031.txt   | 237        | -22          | 10 | 54 | 4
0032.txt   | 1021       | -89863       | 16 | 138 | 5
0033.txt   | 257        | -48          | 13 | 56 | 6
0034.txt   | 586        | +71          | 13 | 97 | 6
0035.txt   | 45         | 0            | 8  | 16 | 4
0036.txt   | 564        | -69887       | 16 | 74 | 7
0037.txt   | 330        | +4           | 15 | 58 | 5
0038.txt   | 141        | 0            | 11 | 35 | 4
0039.txt   | 468        | -94          | 13 | 114 | 3
0040.txt   | 290        | -3           | 13 | 86 | 3
0041.txt   | 194        | 0            | 10 | 44 | 6
0042.txt   | 67         | 0            | 8  | 19 | 6
0043.txt   | 297        | -8           | 11 | 65 | 6
0044.txt   | 240        | -26          | 12 | 48 | 5
0045.txt   | 143        | 0            | 12 | 38 | 4
0046.txt   | 106        | 0            | 9  | 21 | 7
0047.txt   | 416        | -123         | 13 | 82 | 6
0048.txt   | 141        | -12          | 10 | 31 | 7
0049.txt   | 137        | 0            | 10 | 37 | 4
0050.txt   | 255        | -17          | 14 | 68 | 5
0051.txt   | 151        | -8           | 10 | 43 | 4
0052.txt   | 317        | 0            | 11 | 63 | 5
0053.txt   | 253        | -31          | 10 | 60 | 4
0054.txt   | 601        | -100         | 14 | 145 | 3
0055.txt   | 326        | +9           | 13 | 62 | 7
0056.txt   | 453        | +38          | 14 | 83 | 5
0057.txt   | 274        | -56          | 14 | 72 | 3
0058.txt   | 595        | +53          | 14 | 134 | 3
0059.txt   | 118        | -4           | 10 | 33 | 6
0060.txt   | 631        | -31          | 14 | 136 | 3
0061.txt   | 575        | -73          | 12 | 100 | 6
0062.txt   | 708        | -279         | 15 | 110 | 7
0063.txt   | 205        | 0            | 11 | 40 | 7
0064.txt   | 256        | +7           | 11 | 53 | 6
0065.txt   | 70         | 0            | 8  | 25 | 6
0066.txt   | 308        | -45          | 14 | 79 | 4
0067.txt   | 20884      | -9744        | 12 | 102 | 7
0068.txt   | 416        | -44          | 16 | 67 | 7
0069.txt   | 272        | +17          | 14 | 56 | 6
0070.txt   | 494        | +8           | 14 | 97 | 6
0071.txt   | 477        | -66          | 16 | 120 | 3
0072.txt   | 196        | +3           | 11 | 53 | 3
0073.txt   | 676        | +147         | 11 | 86 | 7
0074.txt   | 91         | -28          | 8  | 31 | 7
0075.txt   | 514        | +62          | 15 | 94 | 6
0076.txt   | 183        | -29          | 12 | 60 | 3
0077.txt   | 117        | -24          | 8  | 40 | 4
0078.txt   | 436        | +7           | 13 | 88 | 4
0079.txt   | 233        | -3           | 12 | 76 | 3
0080.txt   | 749        | -10          | 15 | 127 | 5
0081.txt   | 641        | +111         | 16 | 116 | 4
0082.txt   | 264        | -17          | 11 | 62 | 6
0083.txt   | 427        | +32          | 15 | 72 | 7
0084.txt   | 317        | -24          | 12 | 78 | 5
0085.txt   | 233        | +16          | 15 | 62 | 3
0086.txt   | 78         | 0            | 8  | 20 | 7
0087.txt   | 145        | 0            | 11 | 35 | 7
0088.txt   | 156        | 0            | 12 | 37 | 6
0089.txt   | 783        | -19926       | 14 | 124 | 6
0090.txt   | 399        | +21          | 15 | 66 | 6
0091.txt   | 744        | +79          | 16 | 143 | 4
0092.txt   | 81145      | -80121       | 16 | 156 | 7
0093.txt   | 102        | -13          | 8  | 39 | 3
0094.txt   | 537        | -36          | 13 | 122 | 4
0095.txt   | 182        | -15          | 11 | 50 | 4
0096.txt   | 296        | -10          | 11 | 67 | 5
0097.txt   | 657        | -31          | 16 | 120 | 6
0098.txt   | 164        | -17          | 10 | 44 | 5
0099.txt   | 322        | +35          | 12 | 70 | 4
------------------------------------------------------------
Total Score : 246190 (Diff: -161137)
