File       | Score      | Diff         | N  | M  | C
------------------------------------------------------------
0000.txt   | 66         | -            | 8  | 30 | 3
0001.txt   | 182        | -            | 9  | 38 | 7
0002.txt   | 90564      | -            | 14 | 127 | 6
0003.txt   | 533        | -            | 13 | 114 | 3
0004.txt   | 20601      | -            | 13 | 91 | 6
0005.txt   | 311        | -            | 13 | 84 | 4
0006.txt   | 101        | -            | 8  | 32 | 5
0007.txt   | 294        | -            | 9  | 54 | 6
0008.txt   | 113        | -            | 9  | 36 | 3
0009.txt   | 144        | -            | 8  | 43 | 3
0010.txt   | 111        | -            | 8  | 36 | 4
0011.txt   | 20336      | -            | 14 | 81 | 4
0012.txt   | 120        | -            | 10 | 37 | 3
0013.txt   | 272        | -            | 13 | 59 | 5
0014.txt   | 520        | -            | 11 | 89 | 6
0015.txt   | 210870     | -            | 15 | 147 | 7
0016.txt   | 228        | -            | 10 | 52 | 5
0017.txt   | 255        | -            | 10 | 72 | 4
0018.txt   | 158        | -            | 8  | 42 | 6
0019.txt   | 220976     | -            | 16 | 188 | 5
0020.txt   | 77         | -            | 8  | 25 | 6
0021.txt   | 108        | -            | 10 | 33 | 4
0022.txt   | 343        | -            | 12 | 95 | 3
0023.txt   | 87         | -            | 9  | 26 | 5
0024.txt   | 85         | -            | 10 | 28 | 4
0025.txt   | 123        | -            | 8  | 47 | 3
0026.txt   | 81         | -            | 8  | 19 | 7
0027.txt   | 60469      | -            | 13 | 101 | 6
0028.txt   | 20444      | -            | 14 | 86 | 5
0029.txt   | 30520      | -            | 13 | 104 | 5
0030.txt   | 346        | -            | 15 | 64 | 5
0031.txt   | 198        | -            | 10 | 54 | 4
0032.txt   | 200503     | -            | 16 | 138 | 5
0033.txt   | 306        | -            | 13 | 56 | 6
0034.txt   | 50535      | -            | 13 | 97 | 6
0035.txt   | 45         | -            | 8  | 16 | 4
0036.txt   | 40408      | -            | 16 | 74 | 7
0037.txt   | 20309      | -            | 15 | 58 | 5
0038.txt   | 129        | -            | 11 | 35 | 4
0039.txt   | 588        | -            | 13 | 114 | 3
0040.txt   | 261        | -            | 13 | 86 | 3
0041.txt   | 227        | -            | 10 | 44 | 6
0042.txt   | 65         | -            | 8  | 19 | 6
0043.txt   | 349        | -            | 11 | 65 | 6
0044.txt   | 235        | -            | 12 | 48 | 5
0045.txt   | 156        | -            | 12 | 38 | 4
0046.txt   | 88         | -            | 9  | 21 | 7
0047.txt   | 487        | -            | 13 | 82 | 6
0048.txt   | 169        | -            | 10 | 31 | 7
0049.txt   | 145        | -            | 10 | 37 | 4
0050.txt   | 281        | -            | 14 | 68 | 5
0051.txt   | 164        | -            | 10 | 43 | 4
0052.txt   | 297        | -            | 11 | 63 | 5
0053.txt   | 243        | -            | 10 | 60 | 4
0054.txt   | 791        | -            | 14 | 145 | 3
0055.txt   | 342        | -            | 13 | 62 | 7
0056.txt   | 20382      | -            | 14 | 83 | 5
0057.txt   | 345        | -            | 14 | 72 | 3
0058.txt   | 522        | -            | 14 | 134 | 3
0059.txt   | 116        | -            | 10 | 33 | 6
0060.txt   | 20509      | -            | 14 | 136 | 3
0061.txt   | 20664      | -            | 12 | 100 | 6
0062.txt   | 120659     | -            | 15 | 110 | 7
0063.txt   | 163        | -            | 11 | 40 | 7
0064.txt   | 258        | -            | 11 | 53 | 6
0065.txt   | 80         | -            | 8  | 25 | 6
0066.txt   | 340        | -            | 14 | 79 | 4
0067.txt   | 50716      | -            | 12 | 102 | 7
0068.txt   | 50401      | -            | 16 | 67 | 7
0069.txt   | 273        | -            | 14 | 56 | 6
0070.txt   | 20456      | -            | 14 | 97 | 6
0071.txt   | 20387      | -            | 16 | 120 | 3
0072.txt   | 220        | -            | 11 | 53 | 3
0073.txt   | 20617      | -            | 11 | 86 | 7
0074.txt   | 100        | -            | 8  | 31 | 7
0075.txt   | 80460      | -            | 15 | 94 | 6
0076.txt   | 235        | -            | 12 | 60 | 3
0077.txt   | 114        | -            | 8  | 40 | 4
0078.txt   | 20400      | -            | 13 | 88 | 4
0079.txt   | 283        | -            | 12 | 76 | 3
0080.txt   | 20641      | -            | 15 | 127 | 5
0081.txt   | 50442      | -            | 16 | 116 | 4
0082.txt   | 259        | -            | 11 | 62 | 6
0083.txt   | 80268      | -            | 15 | 72 | 7
0084.txt   | 345        | -            | 12 | 78 | 5
0085.txt   | 244        | -            | 15 | 62 | 3
0086.txt   | 74         | -            | 8  | 20 | 7
0087.txt   | 162        | -            | 11 | 35 | 7
0088.txt   | 164        | -            | 12 | 37 | 6
0089.txt   | 110526     | -            | 14 | 124 | 6
0090.txt   | 351        | -            | 15 | 66 | 6
0091.txt   | 40477      | -            | 16 | 143 | 4
0092.txt   | 280547     | -            | 16 | 156 | 7
0093.txt   | 135        | -            | 8  | 39 | 3
0094.txt   | 506        | -            | 13 | 122 | 4
0095.txt   | 193        | -            | 11 | 50 | 4
0096.txt   | 321        | -            | 11 | 67 | 5
0097.txt   | 110414     | -            | 16 | 120 | 6
0098.txt   | 154        | -            | 10 | 44 | 5
0099.txt   | 296        | -            | 12 | 70 | 4
------------------------------------------------------------
Total Score : 2141978
Time        : 196.20 sec
